user_id,user_name,user_program,user_department,user_branch,user_age,user_year_of_study,user_previous_courses,user_course_interest,user_career_interest,user_competencies,user_grades,user_occupied_slots,user_credits_requirement
U017,Student_17,B.Tech,MEL,AI,25,4,"['AI 068', 'EE 070']",AI Research,Startup,"['Python', 'Control Systems', 'Mechanics']",7.34,"['E', 'C']",12
U018,Student_18,M.Tech,CS,Cybersecurity,25,4,"['ECE 018', 'MEL 006', 'CS 046', 'EE 070']",Power Systems,Industry,"['ML', 'Mechanics', 'Thermodynamics']",9.18,"['B', 'A', 'C']",14
U019,Student_19,M.Tech,AI,Chemical Engineering,22,1,"['ECE 026', 'MEL 006']",Power Systems,Industry,"['Communication', 'Data Analysis', 'Control Systems']",7.44,"['C', 'B']",13
U020,Student_20,M.Tech,MEL,Metallurgy,26,3,"['CHEM 052', 'EE 096', 'MEL 057', 'ECE 050', 'CHEM 044']",Networks,Research,"['Data Analysis', 'Thermodynamics', 'Control Systems']",8.9,"['C', 'A', 'B']",14
U021,Student_21,M.Tech,CHEM,Electronics and Telecommunication,21,4,"['MEL 014', 'ECE 011', 'AI 042', 'CS 085']",Power Systems,Startup,"['Communication', 'Control Systems', 'Data Analysis']",7.98,"['E', 'C']",23
U022,Student_22,M.Tech,AI,Power Engineering,20,2,"['AI 047', 'CS 066', 'EE 096', 'CS 087', 'CHEM 021']",Machine Learning,Research,"['ML', 'Mechanics', 'Communication']",7.28,"['A', 'E', 'C']",23
U023,Student_23,M.Tech,AI,Cybersecurity,21,1,"['AI 048', 'MEL 057', 'EE 098', 'CS 010', 'EE 074']",Networks,Research,"['Thermodynamics', 'Control Systems', 'ML']",8.93,"['E', 'B']",27
U024,Student_24,M.Tech,AI,Power Engineering,21,4,"['ECE 028', 'ECE 079', 'CHEM 037', 'CHEM 089', 'CHEM 063']",Networks,Research,"['C++', 'Data Analysis', 'Python']",9.17,"['C', 'E']",22
U025,Student_25,B.Tech,ECE,Chemical Engineering,20,2,"['CHEM 021', 'ECE 092', 'AI 091', 'EE 090']",Cybersecurity,Industry,"['ML', 'Mechanics', 'Data Analysis']",7.28,"['E', 'C']",27
U026,Student_26,M.Tech,ECE,Computer Technology,26,1,"['AI 009', 'ECE 040']",Chemical Processes,Industry,"['Data Analysis', 'Communication', 'Control Systems']",9.71,"['D', 'B', 'C']",14
U027,Student_27,B.Tech,AI,Electronics and Telecommunication,22,3,"['AI 065', 'AI 008', 'EE 016', 'EE 067', 'EE 020']",Power Systems,Research,"['ML', 'C++', 'Data Analysis']",7.33,"['B', 'E', 'A']",29
U028,Student_28,B.Tech,EE,Cybersecurity,26,1,"['MEL 076', 'CHEM 075', 'EE 020']",Networks,Research,"['Thermodynamics', 'Mechanics', 'Communication']",6.65,"['E', 'A', 'C']",30
U029,Student_29,M.Tech,MEL,Cybersecurity,21,4,"['CHEM 064', 'MEL 081']",AI Research,Startup,"['Communication', 'Thermodynamics', 'ML']",8.0,"['E', 'D']",13
U030,Student_30,M.Tech,AI,AI,24,1,"['AI 078', 'CS 019', 'EE 041', 'ECE 092']",Power Systems,Startup,"['Thermodynamics', 'Control Systems', 'C++']",7.3,"['D', 'E', 'A']",15
U031,Student_31,M.Tech,AI,Cybersecurity,24,3,"['AI 038', 'ECE 050']",Electronics Design,Industry,"['Mechanics', 'C++', 'Data Analysis']",9.02,"['B', 'A']",27
U032,Student_32,M.Tech,AI,Power Engineering,20,1,"['CHEM 051', 'AI 065']",Chemical Processes,Startup,"['Control Systems', 'C++', 'Communication']",8.13,"['C', 'D', 'A']",27
U033,Student_33,M.Tech,CHEM,Cybersecurity,20,2,"['MEL 034', 'CS 094', 'AI 047']",Electronics Design,Startup,"['Mechanics', 'ML', 'Python']",8.33,"['A', 'D']",14
U034,Student_34,M.Tech,CHEM,Electronics and Telecommunication,26,2,"['AI 017', 'MEL 013']",Chemical Processes,Industry,"['Thermodynamics', 'Mechanics', 'ML']",8.49,"['E', 'C', 'D']",24
U035,Student_35,M.Tech,CS,Power Engineering,21,4,"['CS 061', 'EE 067', 'CHEM 059', 'EE 020']",AI Research,Startup,"['ML', 'Data Analysis', 'Communication']",8.46,"['A', 'B']",28
U036,Student_36,M.Tech,CHEM,Metallurgy,26,1,"['AI 048', 'EE 043']",Cybersecurity,Higher Studies,"['C++', 'Control Systems', 'Communication']",7.38,"['E', 'C', 'B']",30
U037,Student_37,B.Tech,EE,Power Engineering,20,1,"['AI 068', 'MEL 081', 'ECE 093']",AI Research,Industry,"['Mechanics', 'C++', 'Thermodynamics']",6.56,"['E', 'D']",22
U038,Student_38,M.Tech,EE,Electronics and Telecommunication,24,4,"['AI 095', 'CS 094', 'AI 008', 'AI 091', 'ECE 018']",AI Research,Startup,"['Control Systems', 'Communication', 'ML']",9.66,"['B', 'D', 'C']",26
U039,Student_39,B.Tech,ECE,Power Engineering,25,4,"['EE 036', 'MEL 072', 'CHEM 039']",Networks,Startup,"['Communication', 'Mechanics', 'ML']",8.08,"['C', 'D', 'A']",29
U040,Student_40,M.Tech,MEL,Metallurgy,23,3,"['CHEM 051', 'ECE 045', 'ECE 099', 'CS 019', 'AI 038']",Machine Learning,Higher Studies,"['Communication', 'Thermodynamics', 'Python']",7.21,"['C', 'A', 'E']",29
U041,Student_41,B.Tech,CHEM,Cybersecurity,20,4,"['AI 032', 'CS 007', 'EE 086']",AI Research,Startup,"['Control Systems', 'Thermodynamics', 'C++']",8.87,"['B', 'A', 'C']",15
U042,Student_42,B.Tech,EE,Chemical Engineering,26,1,"['MEL 084', 'CS 061', 'ECE 062', 'ECE 026', 'ECE 097']",Power Systems,Industry,"['Thermodynamics', 'ML', 'Data Analysis']",8.27,"['E', 'B']",13
U043,Student_43,M.Tech,AI,AI,25,4,"['ECE 024', 'EE 096', 'AI 038', 'EE 005', 'EE 002']",Power Systems,Industry,"['C++', 'ML', 'Mechanics']",9.31,"['A', 'D']",26
U044,Student_44,B.Tech,EE,Cybersecurity,21,4,"['CS 083', 'MEL 033', 'ECE 092', 'ECE 024', 'EE 002']",Cybersecurity,Higher Studies,"['Thermodynamics', 'Mechanics', 'ML']",8.2,"['C', 'B']",14
U045,Student_45,M.Tech,MEL,Electronics and Telecommunication,22,1,"['AI 042', 'AI 032', 'MEL 001', 'MEL 034', 'ECE 050']",Networks,Startup,"['Data Analysis', 'Mechanics', 'ML']",8.66,"['B', 'E']",19
U046,Student_46,M.Tech,MEL,Computer Technology,22,2,"['CHEM 052', 'CS 088', 'AI 065']",Cybersecurity,Industry,"['Communication', 'Thermodynamics', 'Python']",9.66,"['D', 'C']",27
U047,Student_47,M.Tech,AI,AI,20,1,"['EE 098', 'AI 032', 'CS 088']",Electronics Design,Research,"['C++', 'Communication', 'Control Systems']",9.23,"['D', 'E', 'C']",28
U048,Student_48,B.Tech,CHEM,AI,23,2,"['EE 015', 'CS 088', 'AI 027', 'ECE 092', 'CHEM 075']",Chemical Processes,Higher Studies,"['C++', 'Communication', 'Control Systems']",8.01,"['B', 'C']",13
U049,Student_49,M.Tech,AI,Power Engineering,25,1,"['EE 096', 'ECE 028']",AI Research,Research,"['C++', 'Python', 'Control Systems']",9.58,"['A', 'D', 'B']",14
U050,Student_50,B.Tech,CS,Electronics and Telecommunication,21,4,"['AI 048', 'CHEM 049', 'CS 058', 'ECE 011', 'CS 088']",Cybersecurity,Industry,"['ML', 'Thermodynamics', 'Data Analysis']",8.9,"['D', 'B', 'A']",19
U051,Student_51,B.Tech,CS,Metallurgy,20,4,"['AI 069', 'CHEM 049', 'ECE 030', 'AI 032', 'CHEM 059']",Power Systems,Research,"['ML', 'Data Analysis', 'C++']",7.29,"['C', 'D']",14
U052,Student_52,B.Tech,CHEM,Computer Technology,21,3,"['AI 095', 'MEL 006', 'CHEM 052']",Chemical Processes,Industry,"['Control Systems', 'Communication', 'C++']",9.19,"['D', 'A']",30
U053,Student_53,M.Tech,CHEM,Cybersecurity,24,4,"['MEL 053', 'CHEM 039', 'EE 036']",Machine Learning,Research,"['ML', 'Thermodynamics', 'Mechanics']",9.71,"['B', 'C', 'A']",24
U054,Student_54,M.Tech,CHEM,Metallurgy,26,2,"['CHEM 049', 'ECE 024', 'ECE 097', 'AI 069']",Chemical Processes,Higher Studies,"['Control Systems', 'Mechanics', 'C++']",9.52,"['D', 'E', 'A']",29
U055,Student_55,B.Tech,AI,Electronics and Telecommunication,20,3,"['AI 027', 'EE 043', 'CS 083', 'ECE 011']",Chemical Processes,Higher Studies,"['Thermodynamics', 'Python', 'Communication']",8.72,"['D', 'B']",13
U056,Student_56,B.Tech,CS,Metallurgy,25,2,"['AI 027', 'EE 043', 'CHEM 039', 'EE 002', 'ECE 028']",Networks,Higher Studies,"['C++', 'Thermodynamics', 'Control Systems']",9.52,"['E', 'B']",29
U057,Student_57,B.Tech,ECE,Cybersecurity,22,3,"['AI 047', 'CS 066', 'CHEM 064', 'EE 060']",Machine Learning,Higher Studies,"['Data Analysis', 'Mechanics', 'ML']",6.65,"['D', 'C', 'B']",19
U058,Student_58,M.Tech,EE,Chemical Engineering,22,4,"['EE 020', 'ECE 026', 'EE 043', 'ECE 030']",Chemical Processes,Higher Studies,"['Control Systems', 'Data Analysis', 'Communication']",8.02,"['C', 'D']",23
U059,Student_59,B.Tech,EE,AI,20,2,"['CS 010', 'EE 086']",Machine Learning,Research,"['Python', 'Control Systems', 'C++']",7.22,"['B', 'A', 'C']",26
U060,Student_60,M.Tech,CS,Cybersecurity,26,2,"['EE 002', 'MEL 003', 'AI 068', 'ECE 093', 'EE 036']",AI Research,Research,"['Communication', 'Python', 'Data Analysis']",9.53,"['D', 'A', 'E']",28
U061,Student_61,B.Tech,EE,AI,22,1,"['ECE 035', 'CHEM 051', 'ECE 011', 'AI 048']",Chemical Processes,Research,"['Data Analysis', 'Communication', 'C++']",6.81,"['E', 'C']",24
U062,Student_62,B.Tech,CHEM,Electronics and Telecommunication,21,2,"['ECE 011', 'CHEM 064', 'ECE 056']",Cybersecurity,Higher Studies,"['Thermodynamics', 'Communication', 'Python']",7.39,"['A', 'E', 'C']",14
U063,Student_63,B.Tech,ECE,Chemical Engineering,24,2,"['AI 027', 'MEL 076']",Networks,Higher Studies,"['Mechanics', 'Python', 'ML']",8.73,"['B', 'C']",29
U064,Student_64,M.Tech,AI,Cybersecurity,26,3,"['MEL 013', 'ECE 056']",Networks,Research,"['C++', 'ML', 'Communication']",8.59,"['A', 'C']",26
U065,Student_65,M.Tech,EE,Electronics and Telecommunication,26,2,"['CS 088', 'CHEM 075', 'CS 085']",Chemical Processes,Research,"['C++', 'Mechanics', 'Communication']",6.77,"['E', 'D', 'B']",16
U066,Student_66,B.Tech,MEL,Electronics and Telecommunication,21,1,"['MEL 014', 'CS 012', 'MEL 001', 'ECE 040']",Chemical Processes,Industry,"['Thermodynamics', 'Mechanics', 'ML']",7.92,"['D', 'C']",29
U067,Student_67,M.Tech,CHEM,Power Engineering,23,1,"['CHEM 071', 'CS 012', 'EE 077', 'AI 042']",Electronics Design,Industry,"['Mechanics', 'Python', 'ML']",8.39,"['A', 'E', 'D']",17
U068,Student_68,M.Tech,AI,Chemical Engineering,23,1,"['ECE 035', 'CHEM 064', 'CS 019', 'AI 009']",Networks,Startup,"['Mechanics', 'ML', 'Control Systems']",7.33,"['B', 'C']",19
U069,Student_69,M.Tech,MEL,Chemical Engineering,26,3,"['ECE 018', 'CHEM 039']",Machine Learning,Higher Studies,"['Mechanics', 'ML', 'Communication']",7.6,"['E', 'B', 'D']",16
U070,Student_70,M.Tech,ECE,Cybersecurity,23,3,"['CHEM 051', 'EE 041', 'AI 038']",Cybersecurity,Higher Studies,"['Data Analysis', 'Communication', 'C++']",7.7,"['D', 'C']",30
U071,Student_71,B.Tech,CHEM,AI,25,3,"['AI 091', 'AI 027', 'MEL 057', 'AI 038', 'CHEM 089']",Machine Learning,Industry,"['Mechanics', 'Thermodynamics', 'Control Systems']",7.33,"['E', 'A']",16
U072,Student_72,B.Tech,AI,Chemical Engineering,20,2,"['CHEM 075', 'CHEM 052', 'AI 069', 'AI 065', 'CHEM 089']",Chemical Processes,Startup,"['Python', 'Mechanics', 'ML']",7.05,"['A', 'D', 'C']",13
U073,Student_73,M.Tech,MEL,Power Engineering,23,2,"['MEL 013', 'MEL 034']",Networks,Startup,"['Control Systems', 'Data Analysis', 'ML']",9.79,"['C', 'D', 'A']",27
U074,Student_74,M.Tech,ECE,Computer Technology,23,1,"['ECE 045', 'ECE 040', 'CHEM 044']",Chemical Processes,Higher Studies,"['Control Systems', 'Communication', 'Data Analysis']",8.88,"['A', 'E', 'C']",26
U075,Student_75,B.Tech,CS,Cybersecurity,22,4,"['CS 083', 'MEL 014', 'CS 087', 'MEL 022']",Cybersecurity,Higher Studies,"['Control Systems', 'Communication', 'C++']",7.27,"['A', 'E', 'D']",24
U076,Student_76,M.Tech,EE,Chemical Engineering,20,2,"['AI 095', 'ECE 079']",Networks,Industry,"['Data Analysis', 'Communication', 'Control Systems']",7.42,"['D', 'E']",14
U077,Student_77,M.Tech,CS,Power Engineering,24,4,"['CHEM 059', 'EE 015', 'MEL 034']",Cybersecurity,Higher Studies,"['Data Analysis', 'Communication', 'Thermodynamics']",8.44,"['C', 'E']",23
U078,Student_78,B.Tech,AI,Cybersecurity,24,4,"['EE 041', 'EE 016', 'CHEM 031']",Power Systems,Higher Studies,"['C++', 'Data Analysis', 'ML']",8.47,"['C', 'A']",30
U079,Student_79,B.Tech,AI,Electronics and Telecommunication,26,3,"['CHEM 063', 'CHEM 037', 'ECE 018']",Networks,Research,"['Thermodynamics', 'Mechanics', 'Control Systems']",8.1,"['D', 'B']",18
U080,Student_80,M.Tech,AI,Metallurgy,21,3,"['CHEM 063', 'MEL 022', 'ECE 011', 'EE 073', 'CS 004']",Electronics Design,Industry,"['Control Systems', 'ML', 'Python']",9.08,"['D', 'E', 'B']",30
U081,Student_81,M.Tech,AI,Chemical Engineering,20,2,"['ECE 100', 'EE 070', 'AI 047', 'ECE 097']",Machine Learning,Startup,"['Data Analysis', 'Communication', 'C++']",9.39,"['E', 'A']",13
U082,Student_82,M.Tech,ECE,Electronics and Telecommunication,21,2,"['AI 027', 'AI 095', 'MEL 076']",Cybersecurity,Industry,"['Thermodynamics', 'Mechanics', 'Data Analysis']",9.18,"['A', 'D', 'E']",13
U083,Student_83,B.Tech,ECE,Power Engineering,22,2,"['AI 038', 'EE 074', 'ECE 035', 'CS 066']",Cybersecurity,Industry,"['C++', 'Data Analysis', 'Control Systems']",7.32,"['E', 'B', 'D']",22
U084,Student_84,M.Tech,EE,Metallurgy,25,3,"['MEL 081', 'ECE 054', 'CHEM 049', 'CS 058']",Machine Learning,Higher Studies,"['C++', 'Control Systems', 'Communication']",9.64,"['D', 'B', 'C']",22
U085,Student_85,M.Tech,CS,Power Engineering,22,3,"['AI 069', 'CHEM 051']",Networks,Startup,"['Mechanics', 'Data Analysis', 'C++']",7.61,"['D', 'C']",30
U086,Student_86,M.Tech,CHEM,AI,23,1,"['MEL 081', 'CHEM 059']",Machine Learning,Higher Studies,"['C++', 'Mechanics', 'Data Analysis']",7.17,"['C', 'A', 'D']",16
U087,Student_87,M.Tech,ECE,Chemical Engineering,25,2,"['MEL 033', 'ECE 011', 'AI 048', 'EE 086']",Cybersecurity,Higher Studies,"['ML', 'Python', 'Control Systems']",8.66,"['C', 'A']",15
U088,Student_88,B.Tech,EE,Computer Technology,26,4,"['EE 067', 'CS 088', 'MEL 057']",Machine Learning,Industry,"['Python', 'Thermodynamics', 'ML']",8.08,"['A', 'B', 'C']",19
U089,Student_89,B.Tech,CS,Electronics and Telecommunication,20,1,"['CHEM 039', 'ECE 018', 'CHEM 049', 'ECE 100']",Electronics Design,Industry,"['ML', 'Thermodynamics', 'Mechanics']",7.95,"['A', 'C']",18
U090,Student_90,M.Tech,MEL,Chemical Engineering,22,4,"['CS 012', 'MEL 013', 'ECE 018']",Electronics Design,Startup,"['C++', 'Communication', 'Thermodynamics']",9.11,"['D', 'E']",19
U091,Student_91,M.Tech,MEL,Cybersecurity,25,1,"['CS 085', 'CHEM 039']",Networks,Industry,"['Control Systems', 'Thermodynamics', 'Data Analysis']",8.13,"['B', 'C']",15
U092,Student_92,B.Tech,AI,AI,26,4,"['EE 041', 'AI 017', 'ECE 050', 'EE 073']",Chemical Processes,Research,"['Thermodynamics', 'Communication', 'Data Analysis']",6.56,"['E', 'A']",14
U093,Student_93,B.Tech,ECE,Computer Technology,25,2,"['AI 065', 'CHEM 037', 'MEL 081', 'ECE 092', 'ECE 099']",Chemical Processes,Startup,"['Mechanics', 'Thermodynamics', 'Control Systems']",6.78,"['A', 'E']",14
U094,Student_94,M.Tech,EE,Power Engineering,25,2,"['MEL 076', 'MEL 082', 'EE 098', 'MEL 084', 'CS 088']",Cybersecurity,Research,"['C++', 'ML', 'Thermodynamics']",7.31,"['E', 'C']",25
U095,Student_95,M.Tech,AI,Computer Technology,24,3,"['EE 002', 'AI 091']",Networks,Industry,"['Python', 'C++', 'Control Systems']",7.73,"['C', 'B']",20
U096,Student_96,M.Tech,CS,Chemical Engineering,20,4,"['AI 068', 'AI 009', 'MEL 034', 'ECE 092']",AI Research,Industry,"['C++', 'Control Systems', 'Mechanics']",7.71,"['C', 'D']",20
U097,Student_97,B.Tech,CS,Metallurgy,21,1,"['EE 002', 'AI 032']",Machine Learning,Higher Studies,"['Data Analysis', 'ML', 'Control Systems']",7.24,"['B', 'A']",19
U098,Student_98,B.Tech,MEL,Electronics and Telecommunication,23,1,"['EE 016', 'AI 065', 'CS 087', 'CS 007']",Networks,Higher Studies,"['Control Systems', 'Mechanics', 'Communication']",9.36,"['C', 'A', 'E']",21
U099,Student_99,M.Tech,CS,Cybersecurity,26,2,"['EE 073', 'CHEM 039', 'AI 095', 'AI 080']",Networks,Industry,"['Data Analysis', 'ML', 'Communication']",7.0,"['A', 'C', 'E']",25
U100,Student_100,B.Tech,EE,Computer Technology,21,3,"['AI 095', 'CS 094', 'ECE 040', 'MEL 014', 'AI 027']",AI Research,Research,"['Control Systems', 'Data Analysis', 'Mechanics']",6.64,"['A', 'C', 'E']",19
U101,Student_101,B.Tech,CHEM,Metallurgy,24,1,"['CHEM 075', 'MEL 013']",AI Research,Higher Studies,"['ML', 'Thermodynamics', 'Control Systems']",8.69,"['C', 'D', 'E']",16
U102,Student_102,B.Tech,ECE,AI,21,1,"['EE 041', 'CS 058', 'ECE 035', 'ECE 030']",Machine Learning,Industry,"['Control Systems', 'C++', 'Communication']",7.98,"['C', 'D', 'E']",22
U103,Student_103,B.Tech,CS,Electronics and Telecommunication,20,2,"['MEL 034', 'EE 016', 'CS 012', 'CHEM 021', 'CS 088']",Power Systems,Startup,"['Python', 'C++', 'ML']",7.81,"['B', 'D', 'E']",13
U104,Student_104,B.Tech,ECE,Chemical Engineering,20,1,"['MEL 072', 'EE 096', 'CHEM 071', 'AI 032', 'MEL 013']",Chemical Processes,Industry,"['C++', 'Mechanics', 'Data Analysis']",6.93,"['B', 'A', 'E']",24
U105,Student_105,B.Tech,MEL,Cybersecurity,26,3,"['MEL 003', 'AI 009']",Networks,Research,"['Data Analysis', 'Mechanics', 'C++']",6.64,"['E', 'C']",26
U106,Student_106,B.Tech,EE,Computer Technology,20,2,"['CS 088', 'MEL 055', 'ECE 023', 'CS 046', 'ECE 028']",Networks,Startup,"['Communication', 'ML', 'Control Systems']",8.15,"['D', 'E', 'A']",29
U107,Student_107,B.Tech,CS,Electronics and Telecommunication,23,3,"['ECE 054', 'ECE 026', 'CS 083']",Electronics Design,Higher Studies,"['Control Systems', 'Thermodynamics', 'Communication']",8.3,"['C', 'D']",27
U108,Student_108,B.Tech,CHEM,Cybersecurity,26,4,"['EE 041', 'EE 077']",Networks,Startup,"['Python', 'Mechanics', 'ML']",9.03,"['D', 'C', 'A']",19
U109,Student_109,B.Tech,CS,AI,21,3,"['EE 098', 'AI 029']",AI Research,Startup,"['Mechanics', 'ML', 'C++']",9.52,"['B', 'C']",12
U110,Student_110,B.Tech,MEL,Chemical Engineering,21,2,"['CHEM 064', 'EE 070', 'ECE 040']",Networks,Research,"['Data Analysis', 'Python', 'Mechanics']",8.24,"['E', 'B', 'C']",12
U111,Student_111,M.Tech,CHEM,Cybersecurity,20,3,"['AI 042', 'AI 008', 'MEL 003']",Networks,Higher Studies,"['ML', 'Mechanics', 'Python']",8.43,"['B', 'C']",22
U112,Student_112,B.Tech,ECE,Cybersecurity,23,3,"['MEL 084', 'EE 041', 'ECE 023', 'AI 091', 'MEL 072']",Cybersecurity,Startup,"['Thermodynamics', 'C++', 'Data Analysis']",6.92,"['B', 'D']",12
U113,Student_113,B.Tech,CHEM,Chemical Engineering,21,3,"['ECE 079', 'AI 029', 'MEL 082', 'EE 073']",Machine Learning,Startup,"['Data Analysis', 'C++', 'ML']",7.05,"['E', 'A', 'D']",14
U114,Student_114,B.Tech,MEL,Metallurgy,20,4,"['AI 032', 'CHEM 089', 'AI 009']",Power Systems,Higher Studies,"['Communication', 'Mechanics', 'Python']",8.92,"['D', 'A', 'B']",17
U115,Student_115,M.Tech,AI,Electronics and Telecommunication,20,3,"['EE 074', 'MEL 084', 'EE 098', 'CS 088', 'AI 029']",Networks,Startup,"['Data Analysis', 'Python', 'Mechanics']",9.64,"['C', 'D', 'A']",14
U116,Student_116,M.Tech,EE,Cybersecurity,25,2,"['CHEM 044', 'EE 077']",AI Research,Higher Studies,"['Data Analysis', 'Thermodynamics', 'Python']",7.02,"['B', 'A', 'C']",15
U117,Student_117,M.Tech,EE,Cybersecurity,20,4,"['CHEM 039', 'CHEM 031', 'MEL 013', 'CS 007']",Chemical Processes,Research,"['Data Analysis', 'C++', 'Python']",7.47,"['D', 'C']",27
U118,Student_118,M.Tech,CS,AI,20,4,"['ECE 011', 'CS 061', 'EE 015', 'ECE 040']",Electronics Design,Industry,"['Mechanics', 'Control Systems', 'Data Analysis']",7.72,"['B', 'E']",24
U119,Student_119,M.Tech,EE,Cybersecurity,26,4,"['MEL 034', 'AI 029', 'ECE 035', 'EE 073', 'AI 008']",Networks,Industry,"['C++', 'Python', 'Thermodynamics']",8.33,"['A', 'C', 'B']",24
U120,Student_120,B.Tech,CHEM,Metallurgy,20,4,"['CS 061', 'CHEM 039', 'ECE 011']",Chemical Processes,Industry,"['Python', 'Communication', 'Mechanics']",9.63,"['E', 'D', 'C']",17
U121,Student_121,M.Tech,EE,AI,22,1,"['CS 088', 'ECE 056']",Networks,Research,"['ML', 'Mechanics', 'Communication']",7.78,"['A', 'D']",24
U122,Student_122,B.Tech,ECE,Power Engineering,26,3,"['EE 015', 'ECE 054', 'EE 020', 'CS 019', 'EE 073']",AI Research,Startup,"['C++', 'Python', 'Communication']",9.4,"['E', 'D', 'A']",20
U123,Student_123,M.Tech,MEL,Electronics and Telecommunication,25,2,"['EE 036', 'CHEM 052', 'CS 019']",AI Research,Research,"['Mechanics', 'Python', 'Control Systems']",8.96,"['E', 'D', 'A']",20
U124,Student_124,M.Tech,CS,Cybersecurity,25,4,"['EE 090', 'CS 088', 'MEL 013', 'ECE 030', 'ECE 018']",Power Systems,Research,"['Data Analysis', 'Mechanics', 'ML']",7.12,"['C', 'E', 'B']",18
U125,Student_125,B.Tech,AI,Metallurgy,21,2,"['AI 009', 'ECE 040', 'AI 091']",AI Research,Industry,"['Mechanics', 'C++', 'Communication']",9.26,"['E', 'C', 'A']",19
U126,Student_126,B.Tech,AI,Computer Technology,22,4,"['AI 048', 'EE 060', 'AI 065', 'CHEM 051']",Cybersecurity,Higher Studies,"['C++', 'Thermodynamics', 'Python']",7.09,"['C', 'B']",27
U127,Student_127,B.Tech,CHEM,Power Engineering,26,2,"['CHEM 037', 'CS 004']",Chemical Processes,Industry,"['Python', 'C++', 'Communication']",8.74,"['C', 'B', 'D']",20
U128,Student_128,M.Tech,AI,Chemical Engineering,25,3,"['CS 083', 'ECE 023', 'EE 077']",Electronics Design,Higher Studies,"['Python', 'C++', 'ML']",9.46,"['A', 'D']",23
