Course_id,Course_title,Course_description,Course_level,Course_competencies,Course_instructor,Course_prerequisites,Course_slot,Course_capacity,Course_department,course_overall_rating,Course_industryfit,Course_credits
AML7400,Environmental Fluid Dynamics,"Environmental Fluid Dynamics introduces core concepts and practical techniques related to environmental fluid dynamics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",RITABRATA THAKUR,[],X,15.0,AML,3.18,[],3.0
AML7410,Physics Of Turbulent Flows,"Physics Of Turbulent Flows introduces core concepts and practical techniques related to physics of turbulent flows.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",S.V. VEERAVALLI,[],X,15.0,AML,1.88,[],3.0
AML7420,Turbulence And Its Modeling,"Turbulence And Its Modeling introduces core concepts and practical techniques related to turbulence and its modeling.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",GAURAV CHOPRA,[],J,15.0,AML,3.36,[],3.0
AML7440,Hydrodynamic Stability,"Hydrodynamic Stability introduces core concepts and practical techniques related to hydrodynamic stability.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",SANJEEV SANGHI,[],X,15.0,AML,4.24,[],3.0
AML7600,Continuum Mechanics,"Continuum Mechanics introduces core concepts and practical techniques related to continuum mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",ARJUN SHARMA,[],X,15.0,AML,1.03,[],3.0
AML7610,Fluid Structure Interaction,"Fluid Structure Interaction introduces core concepts and practical techniques related to fluid structure interaction.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",NARSING KUMAR JHA,[],H,15.0,AML,4.22,[],3.0
AML7650,Special Topics In Engineering Mechanics,"Special Topics In Engineering Mechanics introduces core concepts and practical techniques related to special topics in engineering mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",S.V. VEERAVALLI,[],X,15.0,AML,3.79,[],3.0
AML7830,Digital Twins,"Digital Twins introduces core concepts and practical techniques related to digital twins.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",SOUVIK CHAKRABORTY,[],C,15.0,AML,2.36,[],3.0
AML7840,Parallel And High Performance Computing For Mechanics,"Parallel And High Performance Computing For Mechanics introduces core concepts and practical techniques related to parallel and high performance computing for mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",PRAPANCH NAIR,[],A,15.0,AML,1.62,[],3.0
AML7870,Topology And Shape Optimization,"Topology And Shape Optimization introduces core concepts and practical techniques related to topology and shape optimization.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",PRATEEK GUPTA,[],A,15.0,AML,4.83,[],3.0
AML820,Advances In Fluid Engineering,"Advances In Fluid Engineering introduces core concepts and practical techniques related to advances in fluid engineering.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",S.V. VEERAVALLI,[],X,15.0,AML,2.35,[],3.0
AML8200,Plasticity,"Plasticity introduces core concepts and practical techniques related to plasticity.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Foundational Knowledge', 'Problem Solving']",SABYASACHI CHATTERJEE,[],X,15.0,AML,1.37,[],3.0
AML833,Applied Plasticity,"Applied Plasticity introduces core concepts and practical techniques related to applied plasticity.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Foundational Knowledge', 'Problem Solving']",SABYASACHI CHATTERJEE,[],X,15.0,AML,1.39,[],3.0
AML834,Structural Stability,"Structural Stability introduces core concepts and practical techniques related to structural stability.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",MALOY KUMAR SINGHA,[],H,15.0,AML,4.39,[],3.0
AML840,Advances In Solid Mechanics,"Advances In Solid Mechanics introduces core concepts and practical techniques related to advances in solid mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",S.V. VEERAVALLI,[],X,15.0,AML,3.41,[],3.0
AMN8010,M.Tech. Teaching Practicum,"M.Tech. Teaching Practicum introduces core concepts and practical techniques related to m.tech. teaching practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Foundational Knowledge', 'Problem Solving']",SABYASACHI CHATTERJEE,[],X,30.0,AMN,4.23,[],0.0
AMN8011,M.S.(R) Teaching Practicum,"M.S.(R) Teaching Practicum introduces core concepts and practical techniques related to m.s.(r) teaching practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Foundational Knowledge', 'Problem Solving']",RITABRATA THAKUR,[],X,30.0,AMN,3.92,[],0.0
AMN8012,Ph.D. Teaching Practicum,"Ph.D. Teaching Practicum introduces core concepts and practical techniques related to ph.d. teaching practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Foundational Knowledge', 'Problem Solving']",RITABRATA THAKUR,[],X,30.0,AMN,3.14,[],0.0
AMN8020,M.Tech. Research Practicum,"M.Tech. Research Practicum introduces core concepts and practical techniques related to m.tech. research practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",SABYASACHI CHATTERJEE,[],X,30.0,AMN,4.89,[],0.0
AMN8021,M.S.(R) Research Practicum,"M.S.(R) Research Practicum introduces core concepts and practical techniques related to m.s.(r) research practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",RITWIK BANDYOPADHYAY,[],X,30.0,AMN,2.51,[],0.0
AMN8022,Ph.D. Research Practicum,"Ph.D. Research Practicum introduces core concepts and practical techniques related to ph.d. research practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",RITWIK BANDYOPADHYAY,[],X,30.0,AMN,3.21,[],0.0
AMP7100,Research Communication And Professional Ethics In Mechanics,"Research Communication And Professional Ethics In Mechanics introduces core concepts and practical techniques related to research communication and professional ethics in mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Engineering Analysis', 'Technical Writing', 'Project Management', 'Problem Solving', 'Research']",NIKHIL WALANI,[],X,90.0,AMP,4.32,[],0.0
AMT5090,Industrial Attachment,"Industrial Attachment introduces core concepts and practical techniques related to industrial attachment.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",5.0,"['Foundational Knowledge', 'Problem Solving']",KIRAN RAMESH,[],X,15.0,AMT,3.47,[],0.0
APD412,B.Tech Project Ii,"B.Tech Project Ii introduces core concepts and practical techniques related to b.tech project ii.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Technical Writing', 'Project Management', 'Research']",PRATEEK GUPTA,[],X,60.0,APD,4.45,[],0.0
APD811,Major Project Part-I,"Major Project Part-I introduces core concepts and practical techniques related to major project part-i.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",ARJUN SHARMA,[],X,10.0,APD,3.31,[],0.0
APD895,Ms Research Project,"Ms Research Project introduces core concepts and practical techniques related to ms research project.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",SITIKANTHA ROY,[],X,30.0,APD,3.82,[],0.0
APL103,Experimental Methods,"Experimental Methods introduces core concepts and practical techniques related to experimental methods.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",1.0,"['Foundational Knowledge', 'Problem Solving']",MURALI RAMAN CHOLEMARI,[],E,60.0,APL,1.18,[],3.0
APL105,Mechanics Of Solids And Fluids,"Mechanics Of Solids And Fluids introduces core concepts and practical techniques related to mechanics of solids and fluids.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",1.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']","SRIHARI SANKARASARMA VEMURI , SUSHMA SANTAPURI",[],A,200.0,APL,1.91,[],3.0
APL109,Numerical Methods & Computations,"Numerical Methods & Computations introduces core concepts and practical techniques related to numerical methods & computations.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",1.0,"['Foundational Knowledge', 'Problem Solving']",ARGHYA SAMANTA,[],D,60.0,APL,2.16,[],3.0
APL206,Engineering Thermodynamics,"Engineering Thermodynamics introduces core concepts and practical techniques related to engineering thermodynamics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",2.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",GAURAV SINGH,[],H,60.0,APL,1.32,[],2.0
APL306,Vibration,"Vibration introduces core concepts and practical techniques related to vibration.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",3.0,"['Foundational Knowledge', 'Problem Solving']",SANTOSH KAPURIA,[],F,15.0,APL,1.93,[],3.0
APL311,Introduction To Finite Element Method,"Introduction To Finite Element Method introduces core concepts and practical techniques related to introduction to finite element method.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",3.0,"['Foundational Knowledge', 'Problem Solving']",PUNEET MAHAJAN,[],C,60.0,APL,1.4,[],3.0
APL321,Introduction To Computational Fluid Dynamics,"Introduction To Computational Fluid Dynamics introduces core concepts and practical techniques related to introduction to computational fluid dynamics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",3.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",AMITABH BHATTACHARYA,[],D,60.0,APL,2.11,[],3.0
APL331,Advanced Mechanics Of Solids,"Advanced Mechanics Of Solids introduces core concepts and practical techniques related to advanced mechanics of solids.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",3.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",AJEET KUMAR,[],J,60.0,APL,3.54,[],3.0
APL402,Fluid Solid Interaction,"Fluid Solid Interaction introduces core concepts and practical techniques related to fluid solid interaction.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",NARSING KUMAR JHA,[],H,15.0,APL,2.46,[],3.0
APL405,Machine Learning In Mechanics,"Machine Learning In Mechanics introduces core concepts and practical techniques related to machine learning in mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Modeling & Simulation', 'ML Basics', 'Model Evaluation', 'Engineering Analysis', 'Data Analysis', 'Statistics', 'Problem Solving']",ARPIT KUMAR AGRAWAL,[],F,60.0,APL,2.48,"['DATA SCIENCE', 'ML ROLES', 'MLE ENGINEER']",2.0
APL424,Introduction To Hydrodynamics Stability,"Introduction To Hydrodynamics Stability introduces core concepts and practical techniques related to introduction to hydrodynamics stability.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",SANJEEV SANGHI,[],X,15.0,APL,1.84,[],3.0
APL433,Introduction To Plates And Shells,"Introduction To Plates And Shells introduces core concepts and practical techniques related to introduction to plates and shells.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Foundational Knowledge', 'Problem Solving']",NIKHIL WALANI,[],J,15.0,APL,2.07,[],3.0
APL440,Parallel Proc. In Comp. Mech.,"Parallel Proc. In Comp. Mech. introduces core concepts and practical techniques related to parallel proc. in comp. mech..
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Foundational Knowledge', 'Problem Solving']",PRAPANCH NAIR,[],A,15.0,APL,4.75,[],3.0
APL452,Introduction To Digital Twins,"Introduction To Digital Twins introduces core concepts and practical techniques related to introduction to digital twins.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Foundational Knowledge', 'Problem Solving']",SOUVIK CHAKRABORTY,[],C,15.0,APL,3.59,[],2.0
APL701,Continuum Mechanics,"Continuum Mechanics introduces core concepts and practical techniques related to continuum mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",ARJUN SHARMA,[],X,15.0,APL,3.44,[],3.0
APL711,Advanced Fluid Mechanics,"Advanced Fluid Mechanics introduces core concepts and practical techniques related to advanced fluid mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",PRATEEK GUPTA,[],J,30.0,APL,1.68,[],3.0
APL713,Turbulence And Its Modeling,"Turbulence And Its Modeling introduces core concepts and practical techniques related to turbulence and its modeling.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",GAURAV CHOPRA,[],J,15.0,APL,3.92,[],3.0
APL715,Physics Of Turbulent Flows,"Physics Of Turbulent Flows introduces core concepts and practical techniques related to physics of turbulent flows.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",S.V. VEERAVALLI,[],X,15.0,APL,1.65,[],3.0
APL746,Environmental Fluid Dynamics,"Environmental Fluid Dynamics introduces core concepts and practical techniques related to environmental fluid dynamics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",RITABRATA THAKUR,[],X,15.0,APL,2.52,[],3.0
APL787,Fatigue Failure And Design,"Fatigue Failure And Design introduces core concepts and practical techniques related to fatigue failure and design.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",RITWIK BANDYOPADHYAY,[],H,15.0,APL,4.96,[],3.0
APL796,Advanced Solid Mechanics,"Advanced Solid Mechanics introduces core concepts and practical techniques related to advanced solid mechanics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",GAURAV SINGH,[],H,0.0,APL,3.56,[],3.0
BSD8095,Ms(R) Research Project,"Ms(R) Research Project introduces core concepts and practical techniques related to ms(r) research project.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",MONIKA AGGARWAL,[],X,30.0,BSD,3.23,[],0.0
BSD895,Major Project (Msr),"Major Project (Msr) introduces core concepts and practical techniques related to major project (msr).
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",MONIKA AGGARWAL,[],X,30.0,BSD,3.74,[],0.0
BSN7010,Research Practicum,"Research Practicum introduces core concepts and practical techniques related to research practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Technical Writing', 'Project Management', 'Research']",MONIKA AGGARWAL,[],X,30.0,BSN,4.37,[],0.0
BSN7020,Teaching Practicum,"Teaching Practicum introduces core concepts and practical techniques related to teaching practicum.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",MONIKA AGGARWAL,[],X,30.0,BSN,4.1,[],0.0
BSQ7091,Research Communication,"Research Communication introduces core concepts and practical techniques related to research communication.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Technical Writing', 'Project Management', 'Research']",ARPAN KUMAR KAR,[],X,30.0,BSQ,1.92,[],1.0
JTD802,Major Project Part-Ii,"Major Project Part-Ii introduces core concepts and practical techniques related to major project part-ii.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",MONIKA AGGARWAL,[],X,30.0,JTD,1.13,[],0.0
BBD452,Major Project Part 2 (Bb1),"Major Project Part 2 (Bb1) introduces core concepts and practical techniques related to major project part 2 (bb1).
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Technical Writing', 'Project Management', 'Research']",KUMARI PRITI SINHA,[],Q,7.0,BBD,2.26,[],0.0
BBD8058,Cornerstone Project,"Cornerstone Project introduces core concepts and practical techniques related to cornerstone project.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",AMIT DAS,[],Q,60.0,BBD,2.07,[],0.0
BBD856,Mtp Part-Ii,"Mtp Part-Ii introduces core concepts and practical techniques related to mtp part-ii.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Foundational Knowledge', 'Problem Solving']",AMIT DAS,[],Q,60.0,BBD,1.84,[],0.0
BBD895,Major Project (Msr),"Major Project (Msr) introduces core concepts and practical techniques related to major project (msr).
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",ASHISH MISRA,[],Q,60.0,BBD,4.77,[],0.0
BBL1201,Mass And Energy Balances In Biochemical Engineering,"Mass And Energy Balances In Biochemical Engineering introduces core concepts and practical techniques related to mass and energy balances in biochemical engineering.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",1.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",ASHISH MISRA,[],C,90.0,BBL,4.51,[],3.0
BBL342,Physical And Chemical Properties Of Biomolecules,"Physical And Chemical Properties Of Biomolecules introduces core concepts and practical techniques related to physical and chemical properties of biomolecules.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",3.0,"['Foundational Knowledge', 'Problem Solving']",AMIT DAS,[],H,30.0,BBL,2.26,[],2.0
BBL431,Bioprocess Technology,"Bioprocess Technology introduces core concepts and practical techniques related to bioprocess technology.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Foundational Knowledge', 'Problem Solving']","PREETI SRIVASTAVA   , T.R.SREEKRISHNAN",[],E,90.0,BBL,3.62,[],2.0
BBL432,Fluid Solid Systems,"Fluid Solid Systems introduces core concepts and practical techniques related to fluid solid systems.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Debugging', 'Modeling & Simulation', 'Software Design', 'Programming', 'Engineering Analysis', 'Problem Solving', 'System Design']",KUMARI PRITI SINHA,[],H,90.0,BBL,2.58,"['SDE', 'Software Engineer', 'Developer']",2.0
BBL433,Enzyme Science And Engineering,"Enzyme Science And Engineering introduces core concepts and practical techniques related to enzyme science and engineering.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",RAVI KRISHNAN ELANGOVAN,[],D,90.0,BBL,4.66,[],3.0
BBL434,Bioinformatics,"Bioinformatics introduces core concepts and practical techniques related to bioinformatics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",4.0,"['Foundational Knowledge', 'Problem Solving']",ISHAAN GUPTA,[],F,90.0,BBL,2.84,[],2.0
BBL7031,Bioseparation Engineering,"Bioseparation Engineering introduces core concepts and practical techniques related to bioseparation engineering.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",KRISHNA JYOTI MUKHERJEE,[],F,60.0,BBL,2.06,[],3.0
BBL7036,Dynamics Of Microbial Systems,"Dynamics Of Microbial Systems introduces core concepts and practical techniques related to dynamics of microbial systems.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Debugging', 'Modeling & Simulation', 'Software Design', 'Programming', 'Engineering Analysis', 'Problem Solving', 'System Design']",ANJAN ROY,[],J,30.0,BBL,1.99,"['SDE', 'Software Engineer', 'Developer']",3.0
BBL7074,Biomolecular Engineering,"Biomolecular Engineering introduces core concepts and practical techniques related to biomolecular engineering.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",PREETI SRIVASTAVA,[],D,60.0,BBL,3.25,[],3.0
BBL7075,Bioreaction Engineering,"Bioreaction Engineering introduces core concepts and practical techniques related to bioreaction engineering.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",ATUL NARANG,[],B,60.0,BBL,2.05,[],3.0
BBL7142,Biological Waste Treatment,"Biological Waste Treatment introduces core concepts and practical techniques related to biological waste treatment.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",SHAIKH ZIAUDDIN AHAMMAD,[],AB,5.0,BBL,3.34,[],3.0
BBL7149,Cancer Cell Biology,"Cancer Cell Biology introduces core concepts and practical techniques related to cancer cell biology.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",RITU KULSHRESHTHA,[],J,10.0,BBL,4.59,[],3.0
BBL7157,Electromicrobiology And Bioelectrochemical Systems,"Electromicrobiology And Bioelectrochemical Systems introduces core concepts and practical techniques related to electromicrobiology and bioelectrochemical systems.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Programming', 'Software Design', 'Debugging', 'System Design']",LUCINDA ELIZABETH DOYLE,[],AB,30.0,BBL,2.6,"['SDE', 'Software Engineer', 'Developer']",3.0
BBL731,Bioseparation Engineering,"Bioseparation Engineering introduces core concepts and practical techniques related to bioseparation engineering.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",KRISHNA JYOTI MUKHERJEE,[],F,60.0,BBL,1.88,[],3.0
BBL736,Dynamics Of Microbial Systems,"Dynamics Of Microbial Systems introduces core concepts and practical techniques related to dynamics of microbial systems.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Debugging', 'Modeling & Simulation', 'Software Design', 'Programming', 'Engineering Analysis', 'Problem Solving', 'System Design']",ANJAN ROY,[],J,30.0,BBL,4.99,"['SDE', 'Software Engineer', 'Developer']",3.0
BBL742,Biological Waste Treatment,"Biological Waste Treatment introduces core concepts and practical techniques related to biological waste treatment.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",SHAIKH ZIAUDDIN AHAMMAD,[],AB,25.0,BBL,3.04,[],3.0
BBL746,Current Topics In Biochemicalengineering And Biote,"Current Topics In Biochemicalengineering And Biote introduces core concepts and practical techniques related to current topics in biochemicalengineering and biote.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",JATIN PANWAR,[],H,30.0,BBL,1.36,[],3.0
