course_id,course_title,course_description,course_level,course_competencies,course_instructor,course_duration,course_prerequisites,course_slot,course_capacity,course_type,course_overall_rating,course_industryfit,course_credits,course_department,slot_time
MEL 013,Reliability Engineering,Introductory to reliability engineering and its applications in engineering.,Beginner,"['Optimization', 'AI', 'Simulation']",Prof. D. Patel,8 weeks,['EE 002'],D,73,Lab,3.85,3.42,5,MEL,2-4 PM
MEL 014,Control Systems,Introductory to control systems and its applications in engineering.,Advanced,"['Electronics', 'Design', 'Mechanics']",Prof. D. Patel,12 weeks,['None'],B,55,Core,3.13,3.04,5,MEL,10-12 PM
EE 015,Power Systems,Introductory to power systems and its applications in engineering.,Beginner,"['Python', 'Math', 'Simulation']",Prof. B. Singh,6 weeks,['None'],E,61,Core,4.03,3.56,4,EE,4-6 PM
EE 016,Signal Processing,Introductory to signal processing and its applications in engineering.,Beginner,"['Simulation', 'Chemistry', 'ML']",Prof. D. Patel,12 weeks,['CS 001'],E,46,Core,4.32,3.71,4,EE,4-6 PM
AI 017,Embedded Systems,Introductory to embedded systems and its applications in engineering.,Advanced,"['Math', 'Python', 'Design']",Dr. C. Sharma,6 weeks,['CS 001'],A,52,Core,4.07,3.28,3,AI,8-10 AM
ECE 018,Computer Networks,Introductory to computer networks and its applications in engineering.,Beginner,"['Math', 'Chemistry', 'Simulation']",Dr. A. Mehta,6 weeks,['None'],D,55,Core,3.81,3.96,4,ECE,2-4 PM
CS 019,Operating Systems,Introductory to operating systems and its applications in engineering.,Intermediate,"['Python', 'Design', 'Electronics']",Prof. D. Patel,10 weeks,['AI 003'],B,75,Lab,4.44,3.31,4,CS,10-12 PM
EE 020,Database Systems,Introductory to database systems and its applications in engineering.,Advanced,"['Optimization', 'Python', 'Mechanics']",Dr. A. Mehta,6 weeks,['CHEM 001'],A,70,Lab,4.84,4.06,3,EE,8-10 AM
CHEM 021,Artificial Intelligence,Introductory to artificial intelligence and its applications in engineering.,Beginner,"['Math', 'Simulation', 'ML']",Prof. D. Patel,6 weeks,['CHEM 001'],A,55,Lab,4.19,4.24,4,CHEM,8-10 AM
MEL 022,Deep Learning,Introductory to deep learning and its applications in engineering.,Advanced,"['Optimization', 'Mechanics', 'Electronics']",Prof. B. Singh,10 weeks,['CS 001'],E,56,Elective,3.26,4.29,4,MEL,4-6 PM
ECE 023,Computer Vision,Introductory to computer vision and its applications in engineering.,Beginner,"['Chemistry', 'Math', 'Optimization']",Dr. E. Reddy,8 weeks,['CHEM 001'],A,56,Core,4.87,4.76,3,ECE,8-10 AM
ECE 024,Data Structures and Algorithms,Introductory to data structures and algorithms and its applications in engineering.,Beginner,"['Chemistry', 'Optimization', 'Electronics']",Dr. E. Reddy,6 weeks,['CHEM 001'],C,59,Lab,3.21,4.76,4,ECE,12-2 PM
CS 025,Cybersecurity Fundamentals,Introductory to cybersecurity fundamentals and its applications in engineering.,Advanced,"['Optimization', 'AI', 'Electronics']",Dr. C. Sharma,8 weeks,['EE 002'],A,53,Lab,4.27,3.53,4,CS,8-10 AM
ECE 026,Cryptography,Introductory to cryptography and its applications in engineering.,Beginner,"['Design', 'Electronics', 'Python']",Dr. A. Mehta,10 weeks,['CS 001'],A,80,Elective,3.32,3.88,5,ECE,8-10 AM
AI 027,Communication Systems,Introductory to communication systems and its applications in engineering.,Beginner,"['Math', 'Simulation', 'AI']",Dr. E. Reddy,6 weeks,['EE 002'],E,77,Lab,3.3,3.25,4,AI,4-6 PM
ECE 028,Analog Circuits,Introductory to analog circuits and its applications in engineering.,Intermediate,"['ML', 'Simulation', 'Math']",Dr. C. Sharma,12 weeks,['CHEM 001'],A,49,Core,4.73,4.95,3,ECE,8-10 AM
AI 029,Digital Electronics,Introductory to digital electronics and its applications in engineering.,Beginner,"['Mechanics', 'Design', 'ML']",Dr. C. Sharma,8 weeks,['None'],A,64,Core,4.72,3.44,4,AI,8-10 AM
ECE 030,VLSI Design,Introductory to vlsi design and its applications in engineering.,Beginner,"['ML', 'Python', 'Simulation']",Prof. D. Patel,10 weeks,['EE 002'],C,44,Elective,3.7,4.02,5,ECE,12-2 PM
CHEM 031,Microprocessors,Introductory to microprocessors and its applications in engineering.,Beginner,"['Math', 'Electronics', 'AI']",Dr. E. Reddy,10 weeks,['None'],C,46,Lab,3.87,4.46,4,CHEM,12-2 PM
AI 032,Quantum Computing,Introductory to quantum computing and its applications in engineering.,Advanced,"['Math', 'Design', 'ML']",Dr. C. Sharma,6 weeks,['AI 003'],E,40,Lab,4.85,4.08,5,AI,4-6 PM
MEL 033,Parallel Computing,Introductory to parallel computing and its applications in engineering.,Intermediate,"['Design', 'Math', 'Mechanics']",Dr. E. Reddy,10 weeks,['None'],B,59,Lab,3.62,3.82,4,MEL,10-12 PM
MEL 034,Software Engineering,Introductory to software engineering and its applications in engineering.,Advanced,"['AI', 'ML', 'Design']",Prof. D. Patel,8 weeks,['CHEM 001'],C,76,Elective,3.81,4.67,4,MEL,12-2 PM
ECE 035,Distributed Systems,Introductory to distributed systems and its applications in engineering.,Intermediate,"['Simulation', 'Mechanics', 'Chemistry']",Prof. D. Patel,12 weeks,['CS 001'],B,72,Elective,4.59,4.92,5,ECE,10-12 PM
EE 036,Compiler Design,Introductory to compiler design and its applications in engineering.,Intermediate,"['Optimization', 'Mechanics', 'Math']",Prof. B. Singh,10 weeks,['CS 001'],A,52,Core,3.05,3.49,4,EE,8-10 AM
CHEM 037,Optimization Techniques,Introductory to optimization techniques and its applications in engineering.,Intermediate,"['Design', 'ML', 'Simulation']",Prof. D. Patel,12 weeks,['CS 001'],A,49,Lab,4.38,4.79,3,CHEM,8-10 AM
AI 038,Linear Algebra,Introductory to linear algebra and its applications in engineering.,Beginner,"['Optimization', 'Chemistry', 'Python']",Dr. E. Reddy,8 weeks,['None'],B,69,Core,4.6,4.34,5,AI,10-12 PM
CHEM 039,Discrete Mathematics,Introductory to discrete mathematics and its applications in engineering.,Intermediate,"['Simulation', 'Optimization', 'Design']",Dr. E. Reddy,12 weeks,['CS 001'],C,70,Elective,3.52,3.49,5,CHEM,12-2 PM
ECE 040,Probability and Statistics,Introductory to probability and statistics and its applications in engineering.,Intermediate,"['ML', 'Electronics', 'Chemistry']",Dr. A. Mehta,10 weeks,['CS 001'],E,57,Elective,3.64,4.08,3,ECE,4-6 PM
EE 041,Numerical Methods,Introductory to numerical methods and its applications in engineering.,Intermediate,"['AI', 'ML', 'Math']",Prof. D. Patel,12 weeks,['EE 002'],B,74,Elective,3.83,3.41,4,EE,10-12 PM
AI 042,Organic Chemistry,Introductory to organic chemistry and its applications in engineering.,Advanced,"['Python', 'Design', 'Chemistry']",Dr. A. Mehta,10 weeks,['EE 002'],E,64,Elective,4.08,4.47,5,AI,4-6 PM
EE 043,Physical Chemistry,Introductory to physical chemistry and its applications in engineering.,Beginner,"['Electronics', 'Design', 'Chemistry']",Dr. A. Mehta,12 weeks,['EE 002'],D,65,Lab,3.33,3.93,3,EE,2-4 PM
CHEM 044,Chemical Reaction Engineering,Introductory to chemical reaction engineering and its applications in engineering.,Beginner,"['Design', 'Python', 'Math']",Prof. D. Patel,8 weeks,['AI 003'],E,51,Core,3.52,3.65,4,CHEM,4-6 PM
ECE 045,Transport Phenomena,Introductory to transport phenomena and its applications in engineering.,Intermediate,"['Electronics', 'Design', 'Simulation']",Dr. A. Mehta,12 weeks,['None'],C,74,Core,5.0,3.7,5,ECE,12-2 PM
CS 046,Thermodynamics for Chemical Engineers,Introductory to thermodynamics for chemical engineers and its applications in engineering.,Beginner,"['ML', 'Simulation', 'Python']",Dr. E. Reddy,8 weeks,['CS 001'],A,48,Elective,4.34,4.13,3,CS,8-10 AM
AI 047,Fluid Dynamics,Introductory to fluid dynamics and its applications in engineering.,Intermediate,"['AI', 'Math', 'Simulation']",Dr. C. Sharma,6 weeks,['CHEM 001'],C,41,Elective,4.15,4.82,4,AI,12-2 PM
AI 048,Materials Science,Introductory to materials science and its applications in engineering.,Beginner,"['Simulation', 'ML', 'Math']",Dr. C. Sharma,6 weeks,['CHEM 001'],B,42,Elective,4.07,4.32,3,AI,10-12 PM
CHEM 049,Solid State Physics,Introductory to solid state physics and its applications in engineering.,Beginner,"['Design', 'Chemistry', 'Math']",Prof. D. Patel,10 weeks,['AI 003'],C,49,Elective,3.35,4.04,5,CHEM,12-2 PM
ECE 050,Mechanical Vibrations,Introductory to mechanical vibrations and its applications in engineering.,Advanced,"['Chemistry', 'Simulation', 'Design']",Dr. E. Reddy,10 weeks,['EE 002'],E,55,Core,3.56,3.9,4,ECE,4-6 PM
CHEM 051,Energy Systems,Introductory to energy systems and its applications in engineering.,Advanced,"['Design', 'Mechanics', 'Python']",Prof. D. Patel,10 weeks,['CS 001'],E,71,Core,3.71,3.52,4,CHEM,4-6 PM
CHEM 052,Electromagnetic Theory,Introductory to electromagnetic theory and its applications in engineering.,Advanced,"['Python', 'Optimization', 'ML']",Dr. A. Mehta,8 weeks,['AI 003'],C,71,Lab,4.52,4.38,5,CHEM,12-2 PM
MEL 053,Signal and Image Processing,Introductory to signal and image processing and its applications in engineering.,Intermediate,"['Python', 'Math', 'Electronics']",Prof. B. Singh,12 weeks,['CS 001'],D,59,Lab,4.16,3.95,5,MEL,2-4 PM
ECE 054,AI for Robotics,Introductory to ai for robotics and its applications in engineering.,Advanced,"['Optimization', 'Mechanics', 'Simulation']",Prof. D. Patel,10 weeks,['EE 002'],D,56,Core,3.24,3.39,3,ECE,2-4 PM
MEL 055,Neural Networks,Introductory to neural networks and its applications in engineering.,Advanced,"['AI', 'ML', 'Optimization']",Prof. D. Patel,10 weeks,['CHEM 001'],E,73,Lab,3.57,3.2,3,MEL,4-6 PM
ECE 056,Reinforcement Learning,Introductory to reinforcement learning and its applications in engineering.,Intermediate,"['AI', 'Electronics', 'Python']",Dr. E. Reddy,8 weeks,['EE 002'],B,42,Core,4.11,4.39,3,ECE,10-12 PM
MEL 057,Human Computer Interaction,Introductory to human computer interaction and its applications in engineering.,Beginner,"['Python', 'Electronics', 'Chemistry']",Prof. D. Patel,12 weeks,['EE 002'],D,51,Core,3.5,4.72,3,MEL,2-4 PM
CS 058,Natural Language Processing,Introductory to natural language processing and its applications in engineering.,Intermediate,"['Math', 'Python', 'AI']",Prof. B. Singh,10 weeks,['None'],D,55,Core,4.12,3.83,5,CS,2-4 PM
CHEM 059,Data Mining,Introductory to data mining and its applications in engineering.,Advanced,"['Design', 'Chemistry', 'Optimization']",Dr. C. Sharma,12 weeks,['EE 002'],B,76,Lab,3.12,4.92,3,CHEM,10-12 PM
EE 060,Big Data Systems,Introductory to big data systems and its applications in engineering.,Intermediate,"['Math', 'AI', 'ML']",Prof. B. Singh,6 weeks,['CS 001'],B,40,Elective,3.9,4.19,4,EE,10-12 PM
CS 061,Power Electronics,Introductory to power electronics and its applications in engineering.,Intermediate,"['Electronics', 'Chemistry', 'Math']",Prof. B. Singh,10 weeks,['CHEM 001'],B,52,Elective,3.23,3.45,3,CS,10-12 PM
ECE 062,High Voltage Engineering,Introductory to high voltage engineering and its applications in engineering.,Beginner,"['Python', 'AI', 'Electronics']",Dr. E. Reddy,10 weeks,['AI 003'],B,47,Elective,4.38,4.4,4,ECE,10-12 PM
CHEM 063,Renewable Energy Systems,Introductory to renewable energy systems and its applications in engineering.,Intermediate,"['Chemistry', 'Math', 'Python']",Prof. D. Patel,10 weeks,['CHEM 001'],E,56,Core,3.18,4.92,5,CHEM,4-6 PM
CHEM 064,Smart Grid Systems,Introductory to smart grid systems and its applications in engineering.,Advanced,"['Electronics', 'Python', 'AI']",Prof. D. Patel,12 weeks,['EE 002'],A,51,Lab,3.87,4.63,3,CHEM,8-10 AM
AI 065,Machine Design,Introductory to machine design and its applications in engineering.,Intermediate,"['Mechanics', 'Simulation', 'Math']",Prof. B. Singh,10 weeks,['AI 003'],C,71,Elective,4.33,3.8,5,AI,12-2 PM
CS 066,Manufacturing Processes,Introductory to manufacturing processes and its applications in engineering.,Beginner,"['Mechanics', 'Electronics', 'Simulation']",Dr. A. Mehta,12 weeks,['CHEM 001'],D,40,Lab,4.74,3.92,3,CS,2-4 PM
EE 067,Welding and Joining,Introductory to welding and joining and its applications in engineering.,Intermediate,"['Simulation', 'Chemistry', 'Optimization']",Dr. A. Mehta,8 weeks,['EE 002'],E,75,Core,4.86,3.88,5,EE,4-6 PM
AI 068,Computational Fluid Dynamics,Introductory to computational fluid dynamics and its applications in engineering.,Beginner,"['Simulation', 'ML', 'AI']",Dr. C. Sharma,6 weeks,['CHEM 001'],A,66,Core,3.45,4.68,3,AI,8-10 AM
AI 069,Applied Thermodynamics,Introductory to applied thermodynamics and its applications in engineering.,Advanced,"['AI', 'Chemistry', 'Electronics']",Dr. E. Reddy,10 weeks,['AI 003'],A,70,Elective,3.49,4.1,4,AI,8-10 AM
EE 070,Phase Equilibrium,Introductory to phase equilibrium and its applications in engineering.,Advanced,"['AI', 'Math', 'Electronics']",Prof. D. Patel,10 weeks,['CHEM 001'],E,57,Core,3.57,3.6,5,EE,4-6 PM
CHEM 071,Polymer Engineering,Introductory to polymer engineering and its applications in engineering.,Beginner,"['Chemistry', 'Optimization', 'Simulation']",Dr. C. Sharma,10 weeks,['CHEM 001'],D,74,Elective,3.91,3.64,3,CHEM,2-4 PM
MEL 072,Process Dynamics and Control,Introductory to process dynamics and control and its applications in engineering.,Advanced,"['Design', 'ML', 'Simulation']",Dr. A. Mehta,10 weeks,['AI 003'],B,64,Elective,4.98,4.58,5,MEL,10-12 PM
EE 073,Corrosion Engineering,Introductory to corrosion engineering and its applications in engineering.,Beginner,"['AI', 'Optimization', 'Mechanics']",Dr. A. Mehta,12 weeks,['None'],D,73,Elective,3.03,3.29,5,EE,2-4 PM
EE 074,Nanomaterials,Introductory to nanomaterials and its applications in engineering.,Intermediate,"['Electronics', 'Mechanics', 'Design']",Dr. A. Mehta,10 weeks,['CHEM 001'],A,64,Elective,4.25,4.77,4,EE,8-10 AM
CHEM 075,Metallurgical Thermodynamics,Introductory to metallurgical thermodynamics and its applications in engineering.,Advanced,"['Math', 'ML', 'Electronics']",Prof. B. Singh,6 weeks,['AI 003'],A,46,Lab,4.41,3.2,3,CHEM,8-10 AM
MEL 076,Material Characterization,Introductory to material characterization and its applications in engineering.,Beginner,"['Python', 'Mechanics', 'Simulation']",Dr. C. Sharma,10 weeks,['EE 002'],C,67,Core,3.49,3.82,5,MEL,12-2 PM
EE 077,Metal Forming,Introductory to metal forming and its applications in engineering.,Beginner,"['Math', 'Design', 'ML']",Prof. D. Patel,8 weeks,['CS 001'],B,69,Lab,3.51,3.51,3,EE,10-12 PM
AI 078,Welding Metallurgy,Introductory to welding metallurgy and its applications in engineering.,Advanced,"['Optimization', 'AI', 'Math']",Prof. D. Patel,10 weeks,['CHEM 001'],C,59,Lab,4.92,4.38,4,AI,12-2 PM
ECE 079,Mechanical Metallurgy,Introductory to mechanical metallurgy and its applications in engineering.,Intermediate,"['Chemistry', 'Math', 'ML']",Prof. D. Patel,10 weeks,['CHEM 001'],B,58,Lab,3.59,4.96,5,ECE,10-12 PM
AI 080,Fatigue and Fracture,Introductory to fatigue and fracture and its applications in engineering.,Beginner,"['Simulation', 'Python', 'Chemistry']",Dr. C. Sharma,8 weeks,['CHEM 001'],C,62,Core,4.27,4.24,5,AI,12-2 PM
MEL 081,Biomaterials,Introductory to biomaterials and its applications in engineering.,Advanced,"['Math', 'Python', 'Electronics']",Prof. D. Patel,6 weeks,['CHEM 001'],B,63,Lab,3.26,4.82,4,MEL,10-12 PM
MEL 082,AI in Materials Science,Introductory to ai in materials science and its applications in engineering.,Beginner,"['ML', 'AI', 'Mechanics']",Dr. E. Reddy,10 weeks,['CS 001'],D,56,Elective,4.93,3.59,4,MEL,2-4 PM
CS 083,Chemical Process Safety,Introductory to chemical process safety and its applications in engineering.,Beginner,"['AI', 'ML', 'Design']",Dr. E. Reddy,10 weeks,['None'],D,65,Core,3.53,3.25,4,CS,2-4 PM
MEL 084,Process Optimization,Introductory to process optimization and its applications in engineering.,Advanced,"['Design', 'Mechanics', 'Math']",Prof. B. Singh,12 weeks,['None'],C,79,Lab,3.66,4.22,5,MEL,12-2 PM
CS 085,Industrial Catalysis,Introductory to industrial catalysis and its applications in engineering.,Advanced,"['Electronics', 'Design', 'Math']",Prof. B. Singh,6 weeks,['None'],D,59,Elective,3.23,3.47,5,CS,2-4 PM
EE 086,Environmental Engineering,Introductory to environmental engineering and its applications in engineering.,Intermediate,"['Mechanics', 'Optimization', 'Design']",Dr. E. Reddy,8 weeks,['AI 003'],D,46,Elective,4.23,4.88,4,EE,2-4 PM
CS 087,Instrumentation and Control,Introductory to instrumentation and control and its applications in engineering.,Beginner,"['Chemistry', 'Simulation', 'ML']",Dr. C. Sharma,6 weeks,['EE 002'],C,74,Lab,3.72,3.8,3,CS,12-2 PM
CS 088,Sensors and Actuators,Introductory to sensors and actuators and its applications in engineering.,Beginner,"['ML', 'Python', 'Optimization']",Dr. C. Sharma,8 weeks,['CS 001'],D,76,Core,3.14,4.53,3,CS,2-4 PM
CHEM 089,Embedded AI Systems,Introductory to embedded ai systems and its applications in engineering.,Beginner,"['Mechanics', 'AI', 'Python']",Dr. C. Sharma,8 weeks,['CS 001'],B,74,Elective,4.6,3.22,3,CHEM,10-12 PM
EE 090,Robotics and Control,Introductory to robotics and control and its applications in engineering.,Intermediate,"['ML', 'Mechanics', 'Python']",Prof. B. Singh,10 weeks,['None'],A,48,Lab,3.84,3.23,3,EE,8-10 AM
AI 091,Soft Computing,Introductory to soft computing and its applications in engineering.,Intermediate,"['Optimization', 'Math', 'Chemistry']",Dr. E. Reddy,8 weeks,['CHEM 001'],D,42,Lab,4.57,4.73,5,AI,2-4 PM
ECE 092,Machine Perception,Introductory to machine perception and its applications in engineering.,Advanced,"['Python', 'Simulation', 'Chemistry']",Prof. D. Patel,12 weeks,['None'],D,71,Lab,4.82,3.15,3,ECE,2-4 PM
ECE 093,Internet of Things,Introductory to internet of things and its applications in engineering.,Beginner,"['Math', 'AI', 'Electronics']",Dr. E. Reddy,10 weeks,['AI 003'],E,78,Lab,3.59,4.01,4,ECE,4-6 PM
CS 094,Blockchain Systems,Introductory to blockchain systems and its applications in engineering.,Advanced,"['Optimization', 'ML', 'Design']",Prof. D. Patel,8 weeks,['AI 003'],A,61,Elective,3.8,4.46,4,CS,8-10 AM
AI 095,Quantum Information,Introductory to quantum information and its applications in engineering.,Advanced,"['Electronics', 'Mechanics', 'AI']",Prof. D. Patel,6 weeks,['None'],C,45,Core,3.86,4.49,4,AI,12-2 PM
EE 096,Cyber-Physical Systems,Introductory to cyber-physical systems and its applications in engineering.,Beginner,"['Simulation', 'Optimization', 'Mechanics']",Dr. A. Mehta,12 weeks,['EE 002'],E,67,Lab,3.1,3.58,4,EE,4-6 PM
ECE 097,Bioinformatics,Introductory to bioinformatics and its applications in engineering.,Advanced,"['Optimization', 'ML', 'AI']",Prof. D. Patel,8 weeks,['None'],A,62,Lab,3.74,4.53,5,ECE,8-10 AM
EE 098,Data Analytics for Engineers,Introductory to data analytics for engineers and its applications in engineering.,Advanced,"['Simulation', 'Optimization', 'Python']",Dr. E. Reddy,10 weeks,['None'],D,51,Elective,4.41,3.62,4,EE,2-4 PM
ECE 099,Design of Experiments,Introductory to design of experiments and its applications in engineering.,Beginner,"['AI', 'Design', 'Math']",Prof. B. Singh,6 weeks,['None'],A,73,Core,3.75,3.91,3,ECE,8-10 AM
ECE 100,Innovation and Entrepreneurship,Introductory to innovation and entrepreneurship and its applications in engineering.,Advanced,"['Mechanics', 'Math', 'Python']",Prof. B. Singh,8 weeks,['CHEM 001'],C,43,Lab,3.16,3.89,4,ECE,12-2 PM
